Date,Open,High,Low,Close,Adj Close,Volume
2000-09-01,47.218750,52.187500,47.218750,50.937500,43.811466,520600
2000-09-05,51.281250,51.937500,48.375000,48.500000,41.714981,441200
2000-09-06,48.562500,49.500000,44.500000,44.625000,38.382084,500600
2000-09-07,45.000000,47.968750,44.593750,47.656250,40.989262,336800
2000-09-08,47.375000,47.375000,44.406250,44.843750,38.570236,367600
2000-09-11,44.437500,48.187500,43.000000,46.500000,39.994762,419200
2000-09-12,46.500000,46.625000,45.812500,46.156250,39.699108,323400
2000-09-13,46.437500,48.492188,46.000000,48.250000,41.499954,259400
2000-09-14,48.250000,50.656250,48.125000,49.750000,42.790100,292800
2000-09-15,49.781250,49.812500,45.875000,46.125000,39.672226,243400
2000-09-18,47.250000,47.687500,44.000000,45.031250,38.731483,279000
2000-09-19,47.093750,49.468750,46.062500,48.875000,42.037491,194600
2000-09-20,48.984375,49.000000,45.812500,47.625000,40.962383,251400
2000-09-21,47.531250,49.968750,47.375000,48.281250,41.526836,209000
2000-09-22,47.375000,53.500000,46.281250,53.000000,45.585438,468200
2000-09-25,54.859375,57.500000,54.000000,54.500000,46.875591,569200
2000-09-26,54.062500,56.000000,51.500000,53.500000,46.015480,249000
2000-09-27,53.750000,55.750000,53.750000,54.218750,46.633678,357000
2000-09-28,54.828125,59.156250,53.718750,57.625000,49.563412,489400
2000-09-29,57.468750,60.000000,54.500000,56.000000,48.165733,621200
2000-10-02,57.171875,57.500000,54.578125,57.000000,49.025837,436000
2000-10-03,57.031250,57.750000,53.000000,53.125000,45.692955,237600
2000-10-04,53.125000,53.500000,50.625000,53.000000,45.585438,271800
2000-10-05,53.000000,55.718750,52.250000,52.718750,45.343529,289600
2000-10-06,53.687500,54.500000,50.125000,52.281250,44.967232,216000
2000-10-09,50.062500,51.500000,49.000000,51.312500,44.134022,143800
2000-10-10,51.429688,56.500000,50.781250,53.875000,46.338028,441600
2000-10-11,53.992188,59.375000,53.062500,55.000000,47.305637,546800
2000-10-12,55.890625,56.750000,50.062500,51.125000,43.972748,372000
2000-10-13,50.750000,53.000000,48.656250,52.843750,45.451054,280400
2000-10-16,51.906250,53.875000,50.875000,51.875000,44.617821,439000
2000-10-17,51.890625,53.250000,50.453125,52.250000,44.940361,160400
2000-10-18,50.187500,54.250000,49.687500,54.093750,46.526165,218800
2000-10-19,55.281250,56.000000,50.500000,52.875000,45.477921,381800
2000-10-20,53.000000,62.437500,53.000000,61.687500,53.057579,1007200
2000-10-23,61.937500,66.437500,61.875000,62.656250,53.890800,930600
2000-10-24,62.187500,62.500000,50.156250,50.312500,43.273911,2371800
2000-10-25,48.906250,55.250000,48.875000,54.093750,46.526165,665000
